Produto_numero;Nome;Codigo;Familia_numero;Linha_numero;Grupo;Fabricante;Fabricado_por;Conteudo_unidade;Unidade_medida;Peso_liquido;Peso_bruto;Preco_compra;Preco_venda;Estoque_minimo;Estoque_maximo;Estoque_ideal;Tempo_reposicao
749;MaO PRESA MD.61.0674-0;31081894;13;19;Acabado;GOOD MOLD;Terceiros;1;UN;1;2;924.00;5000.00;3;25;15;7
750;MaO PRESA MD.61.0684-0;31081895;13;19;Acabado;GOOD MOLD;Terceiros;1;UN;1;2;4210.00;5000.00;15;35;25;11
745;POM - KOCETAL K300;31081892;1;1;Materia Prima;IMCD BRASIL;Terceiros;1;KG;1;1;13.00;22.60;8;30;20;6
1332;Dinamometro Impac IP90DI;31082166;7;27;Acabado;IMPAC;Terceiros;1;UN;1;1;4442.00;5500.00;13;30;20;12
1122;IBC 1000L REMANUFATURADO;31082091;6;14;Embalagem;INDEBA;Terceiros;1;UN;1;1;27.00;793.65;9;30;20;15
928;de Injecao Fill Vent Nipple;31081977;13;19;Acabado;INJEMOLD;Terceiros;1;UN;1;1;172.00;197.00;14;35;25;3
1385;DE INJEcaO MUDGUARD SEAL  SCANIA;31082195;13;19;Acabado;PRIMA SOLE;Terceiros;1;UN;1250;1250;40.00;48.00;6;30;20;10
1474;DE INJEcaO PDC SUPPORT LOWER_UPPER;31082269;13;19;Acabado;PO;Terceiros;1;UN;450;450;55.00;66.00;10;30;20;7
1277;PEAD HJ221;31082135;1;14;Materia Prima;Kautex;Terceiros;1;KG;1;1;5.00;5.50;4;25;15;3
1373;DE INJEcaO COMPONENTE CVS TOYOTA;31082184;13;19;Acabado;KAUTEX;Terceiros;1;UN;450;450;1.00;1.00;10;30;20;2
1473;DE INJEcaO REAR SUPPORT BRACKET;31082268;13;19;Acabado;PO;Terceiros;1;UN;450;450;36.00;43.20;9;30;20;9
1472;DE INJEcaO SUPPORT BRACKET;31082267;13;19;Acabado;PO;Terceiros;1;UN;450;450;40.00;48.00;14;35;25;15
1541;DISPOSITIVO BLANKING PIECE CG/CR/CS;31082336;13;27;Acabado;POLYFAST;Terceiros;1;UN;1;2;20.00;24.00;14;35;25;2
811;DISPOSITIVO DE CONTROLE AA-TOY-230B-MIRROR-FRAME-RH;31081934;13;27;Acabado;KAUTEX;Terceiros;1;UN;1;2;8382.00;8997.75;10;30;20;5
812;DISPOSITIVO DE CONTROLE AA -TOY-230B-SHAFT-NOT-ILLUMINATED-RH-NR;31081935;13;27;Acabado;KAUTEX;Terceiros;1;UN;1;2;6711.00;6880.63;13;30;20;9
148;MH00000020-5 EMBALAGEM POLIONDA SLIDE SURFACE;31081605;6;12;Embalagem;KLIPPAN;Terceiros;1;UN;1;2;228.00;304.89;15;35;25;2
155;MH00000018-5 KLT Handle Tool Box;31081606;6;12;Embalagem;KLIPPAN;Terceiros;1;UN;1;2;22.00;171.22;11;30;20;2
156;MH00000003-5 GLT SIDE STORAGE;31081607;6;12;Acabado;KLIPPAN;Terceiros;1;UN;1;2;1011.00;1200.00;12;30;20;13
157;MH00000005-5 KLT TRIM PANEL;31081608;6;12;Embalagem;KLIPPAN;Terceiros;1;UN;1;2;22.00;73.04;12;30;20;2
158;MH00000019-5 KLT GUIDE PIN;31081609;6;12;Acabado;KLIPPAN;Terceiros;1;UN;1;1;254.00;278.51;15;35;25;9
159;MH00000024-5 PALLET PARA CAIXAS KLT;31081610;6;12;Acabado;KLIPPAN;Terceiros;1;UN;1;2;48.00;267.85;11;30;20;5
160;MH00000012-5 KLT BLANKING PIECES;31081611;6;12;Embalagem;KLIPPAN;Terceiros;1;UN;1;2;46.00;87.39;9;30;20;9
161;MH00000012-5 KLT RELEASE MECHANISM;31081612;6;12;Acabado;KLIPPAN;Terceiros;1;UN;1;2;29.00;73.04;10;30;20;11
950;MH00000006-5 - KLT DIVERSOS;31081985;6;14;Embalagem;KLIPPAN;Terceiros;1;UN;1;1;2.00;36.51;3;25;15;10
1073;ENCHIMENTO B562;31082052;5;14;Acabado;KLIPPAN;Terceiros;1;UN;1;1;1.00;1.00;6;30;20;7
1074;REFORCO B562;31082053;5;14;Acabado;KLIPPAN;Terceiros;1;UN;1;1;1.00;1.00;7;30;20;6
1075;ISOLADOR;31082054;5;14;Acabado;KLIPPAN;Terceiros;1;UN;1;1;1.00;1.00;13;30;20;10
1076;COBERTURA B515;31082055;5;14;Acabado;KLIPPAN;Terceiros;1;UN;1;1;1.00;1.00;3;25;15;4
80;INSONO AZUL INSONO SEUIL COFRRE;31081574;1;1;Materia Prima;LC ESPUMA;Terceiros;1;UN;1;1;1.00;1.41;5;25;15;15
81;MOUSSE CINZA DE ESTANQUIEDADE;31081575;1;1;Materia Prima;LC ESPUMA;Terceiros;1;UN;1;1;0.15;0.29;7;30;20;14
113;CHAPA DE ESPELHO 1.10 X 0.80;31081603;1;13;Materia Prima;LEaO;Terceiros;1;UN;1;1;49.00;71.22;15;35;25;11
92;CAIXA DE PAPELaO 615x415x300;31081585;6;3;Embalagem;LUMAPACK;Terceiros;1;UN;1;1;5.00;8.44;4;25;15;6
93;CAIXA DE PAPELaO 260X140X190;31081586;6;7;Embalagem;LUMAPACK;Terceiros;1;UN;1;1;1.00;1.41;14;35;25;6
861;POLIESTIRENO MEDIO IMPACTO BR;31081959;1;25;Materia Prima;MACROPLAST;Terceiros;1;KG;1;1;7.00;25.31;4;25;15;6
